Comment Text,Cleaned Comment,Sentiment,lowercase,no_punct_digit,normalized,tokenized,preprocessing_comment
Langsung aja kasih emyu,langsung aja kasih emyu,netral,langsung aja kasih emyu,langsung aja kasih emyu,langsung saja kasih emyu,"['langsung', 'saja', 'kasih', 'emyu']",langsung kasih emyu
@ManUtd_ID Tolong ya min. Sebelum semua nya jauh rusak parah. Itu Bruno rasford tidak usah main selama 7 pertandingan. Dan saya sangat minta tolong gantikan ban kapten dari Bruno sial itu mulai hari dari lawan Tottenham. Tolong ya minnnnnn,tolong ya min sebelum semua nya jauh rusak parah itu bruno rasford tidak usah main selama pertandingan dan saya sangat minta tolong gantikan ban kapten dari bruno sial itu mulai hari dari lawan tottenham tolong ya min,negatif,tolong ya min sebelum semua nya jauh rusak parah itu bruno rasford tidak usah main selama pertandingan dan saya sangat minta tolong gantikan ban kapten dari bruno sial itu mulai hari dari lawan tottenham tolong ya min,tolong ya min sebelum semua nya jauh rusak parah itu bruno rasford tidak usah main selama pertandingan dan saya sangat minta tolong gantikan ban kapten dari bruno sial itu mulai hari dari lawan tottenham tolong ya min,tolong ya min sebelum semua nya jauh rusak parah itu bruno rasford tidak usah main selama pertandingan dan saya sangat meminta tolong gantikan ban kapten dari bruno sial itu mulai hari dari lawan tottenham tolong ya min,"['tolong', 'ya', 'min', 'sebelum', 'semua', 'nya', 'jauh', 'rusak', 'parah', 'itu', 'bruno', 'rasford', 'tidak', 'usah', 'main', 'selama', 'pertandingan', 'dan', 'saya', 'sangat', 'meminta', 'tolong', 'gantikan', 'ban', 'kapten', 'dari', 'bruno', 'sial', 'itu', 'mulai', 'hari', 'dari', 'lawan', 'tottenham', 'tolong', 'ya', 'min']",tolong ya min nya rusak parah bruno rasford main pertandingan tolong gantikan ban kapten bruno sial lawan tottenham tolong ya min
Assane Diao Diaoune sudah menjadi incaran Manchester United sejak lama dan mereka menunjukan ketertarikan [@Muppetiers] #ManchesterUnited #kingemyu https://t.co/ypROim0yPC,assane diao diaoune sudah menjadi incaran manchester united sejak lama dan mereka menunjukan ketertarikan manchesterunited kingemyu,netral,assane diao diaoune sudah menjadi incaran manchester united sejak lama dan mereka menunjukan ketertarikan manchesterunited kingemyu,assane diao diaoune sudah menjadi incaran manchester united sejak lama dan mereka menunjukan ketertarikan manchesterunited kingemyu,assane diao diaoune sudah menjadi incaran manchester united sejak lama dan mereka menunjukan ketertarikan manchesterunited kingemyu,"['assane', 'diao', 'diaoune', 'sudah', 'menjadi', 'incaran', 'manchester', 'united', 'sejak', 'lama', 'dan', 'mereka', 'menunjukan', 'ketertarikan', 'manchesterunited', 'kingemyu']",assane diao diaoune incaran manchester united menunjukan ketertarikan manchesterunited kingemyu
@ManUtd_ID @HarryMaguire93 Ngejek bocah manja kyknya,ngejek bocah manja kyknya,negatif,ngejek bocah manja kyknya,ngejek bocah manja kyknya,ngejek bocah manja kayaknya,"['ngejek', 'bocah', 'manja', 'kayaknya']",ngejek bocah manja kayaknya
@ElsaHaryuni Ayo sini aku fans emyu,ayo sini aku fans emyu,positif,ayo sini aku fans emyu,ayo sini aku fans emyu,ayo sini aku fan emyu,"['ayo', 'sini', 'aku', 'fan', 'emyu']",ayo fan emyu
@mengudarabebas @WldnWilD @SiaranBolaLive Beda liga cok. Liga inggris identik dengan tensi tinggi dr presing pergerakan pemain. Di inter sistemnya bagus juga di sokong pemain belakangnya solid. Di emyu belum nyetel aja sistem sama pemainnya. Coba onana ma,beda liga cok liga inggris identik dengan tensi tinggi dr presing pergerakan pemain di inter sistemnya bagus juga di sokong pemain belakangnya solid di emyu belum nyetel aja sistem sama pemainnya coba onana ma,positif,beda liga cok liga inggris identik dengan tensi tinggi dr presing pergerakan pemain di inter sistemnya bagus juga di sokong pemain belakangnya solid di emyu belum nyetel aja sistem sama pemainnya coba onana ma,beda liga cok liga inggris identik dengan tensi tinggi dr presing pergerakan pemain di inter sistemnya bagus juga di sokong pemain belakangnya solid di emyu belum nyetel aja sistem sama pemainnya coba onana ma,beda liga cok liga inggris identik dengan tensi tinggi dari presing pergerakan pemain di inter sistemnya bagus juga di sokong pemain belakangnya solid di emyu belum nyetel saja sistem sama pemainnya coba onana sama,"['beda', 'liga', 'cok', 'liga', 'inggris', 'identik', 'dengan', 'tensi', 'tinggi', 'dari', 'presing', 'pergerakan', 'pemain', 'di', 'inter', 'sistemnya', 'bagus', 'juga', 'di', 'sokong', 'pemain', 'belakangnya', 'solid', 'di', 'emyu', 'belum', 'nyetel', 'saja', 'sistem', 'sama', 'pemainnya', 'coba', 'onana', 'sama']",beda liga cok liga inggris identik tensi presing pergerakan pemain inter sistemnya bagus sokong pemain belakangnya solid emyu nyetel sistem pemainnya coba onana
fans arsenal hari ini udah siap lawan Emyu belum ini ? #Arsenal #MUFC #Manchesterunited #Saka #TimnasDay https://t.co/a0YOcgKvht,fans arsenal hari ini udah siap lawan emyu belum ini arsenal mufc manchesterunited saka timnasday,netral,fans arsenal hari ini udah siap lawan emyu belum ini arsenal mufc manchesterunited saka timnasday,fans arsenal hari ini udah siap lawan emyu belum ini arsenal mufc manchesterunited saka timnasday,fan arsenal hari ini sudah siap lawan emyu belum ini arsenal mufc manchesterunited saka timnasday,"['fan', 'arsenal', 'hari', 'ini', 'sudah', 'siap', 'lawan', 'emyu', 'belum', 'ini', 'arsenal', 'mufc', 'manchesterunited', 'saka', 'timnasday']",fan arsenal lawan emyu arsenal mufc manchesterunited saka timnasday
Bubar ae lu keparat FC @ManUtd_ID,bubar ae lu keparat fc,negatif,bubar ae lu keparat fc,bubar ae lu keparat fc,bubar saja lu keparat fc,"['bubar', 'saja', 'lu', 'keparat', 'fc']",bubar lu keparat fc
Kalau tidak ada Manchester United (emyu) mau jadi apa sepakbola.,kalau tidak ada manchester united emyu mau jadi apa sepakbola,negatif,kalau tidak ada manchester united emyu mau jadi apa sepakbola,kalau tidak ada manchester united emyu mau jadi apa sepakbola,kalau tidak ada manchester united emyu mau jadi apa sepakbola,"['kalau', 'tidak', 'ada', 'manchester', 'united', 'emyu', 'mau', 'jadi', 'apa', 'sepakbola']",manchester united emyu sepakbola
@ManUtd_ID @adidasfootball Yang fans edition kaga ada nih?,yang fans edition kaga ada nih,negatif,yang fans edition kaga ada nih,yang fans edition kaga ada nih,yang fan edition kagak ada nih,"['yang', 'fan', 'edition', 'kagak', 'ada', 'nih']",fan edition kagak nih
@ManUtd_ID Ancene awak MU iku mending main engklek ae,ancene awak mu iku mending main engklek ae,negatif,ancene awak mu iku mending main engklek ae,ancene awak mu iku mending main engklek ae,ancene awak mu iku mending main engklek saja,"['ancene', 'awak', 'mu', 'iku', 'mending', 'main', 'engklek', 'saja']",ancene awak mu iku mending main engklek
@ManUtd_ID Man. United nih boss senggol dong...,man united nih boss senggol dong,positif,man united nih boss senggol dong,man united nih boss senggol dong,man united nih bos senggol dong,"['man', 'united', 'nih', 'bos', 'senggol', 'dong']",man united nih bos senggol
@ManUtd_ID Blok,blok,negatif,blok,blok,blok,['blok'],blok
@kastrophiIe @cikikommo Jangan ditahajudin plis dia udah sadar gak perlu didoain lagi jadi fans emyu T___T,jangan ditahajudin plis dia udah sadar gak perlu didoain lagi jadi fans emyu t_t,negatif,jangan ditahajudin plis dia udah sadar gak perlu didoain lagi jadi fans emyu t_t,jangan ditahajudin plis dia udah sadar gak perlu didoain lagi jadi fans emyu tt,jangan ditahajudin plis dia sudah sadar enggak perlu didoain lagi jadi fan emyu tt,"['jangan', 'ditahajudin', 'plis', 'dia', 'sudah', 'sadar', 'enggak', 'perlu', 'didoain', 'lagi', 'jadi', 'fan', 'emyu', 'tt']",ditahajudin plis sadar didoain fan emyu tt
