Comment Text,Cleaned Comment,Sentiment,lowercase,no_punct_digit,normalized,tokenized,preprocessing_comment
@zaidanilhami sumpah orang yg ngutuk MU ni Pro bener...bukan kalengÂ¬â¤ kutukannya,sumpah orang yg ngutuk mu ni pro benerbukan kaleng kutukannya,negatif,sumpah orang yg ngutuk mu ni pro benerbukan kaleng kutukannya,sumpah orang yg ngutuk mu ni pro benerbukan kaleng kutukannya,sumpah orang yang ngutuk mu ini pro benerbukan kaleng kutukannya,"['sumpah', 'orang', 'yang', 'ngutuk', 'mu', 'ini', 'pro', 'benerbukan', 'kaleng', 'kutukannya']",sumpah orang ngutuk mu pro benerbukan kaleng kutukannya
Tengah nya greenwoodï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢,tengah nya greenwood,netral,tengah nya greenwood,tengah nya greenwood,tengah nya greenwood,"['tengah', 'nya', 'greenwood']",nya greenwood
Setujuï£¿Ã¼Ã®â¢,setuju,positif,setuju,setuju,setuju,['setuju'],setuju
"@rezkynurhadii kan udah di bilang gaji bisa nego apalagi rumor nya masih ada yg mau out, kalo ga ya nunggu musim depan",kan udah di bilang gaji bisa nego apalagi rumor nya masih ada yg mau out kalo ga ya nunggu musim depan,positif,kan udah di bilang gaji bisa nego apalagi rumor nya masih ada yg mau out kalo ga ya nunggu musim depan,kan udah di bilang gaji bisa nego apalagi rumor nya masih ada yg mau out kalo ga ya nunggu musim depan,kan sudah di bilang gaji bisa nego apalagi rumor nya masih ada yang mau out kalo enggak ya nunggu musim depan,"['kan', 'sudah', 'di', 'bilang', 'gaji', 'bisa', 'nego', 'apalagi', 'rumor', 'nya', 'masih', 'ada', 'yang', 'mau', 'out', 'kalo', 'enggak', 'ya', 'nunggu', 'musim', 'depan']",bilang gaji nego rumor nya out kalo ya nunggu musim
"Ten Hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas, namun di pertandingan besar masih terlihat kekurangan mental.",ten hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas namun di pertandingan besar masih terlihat kekurangan mental,negatif,ten hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas namun di pertandingan besar masih terlihat kekurangan mental,ten hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas namun di pertandingan besar masih terlihat kekurangan mental,ten hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas namun di pertandingan besar masih terlihat kekurangan mental,"['ten', 'hag', 'berhasil', 'membawa', 'tim', 'lebih', 'dekat', 'dengan', 'identitas', 'bermain', 'yang', 'jelas', 'namun', 'di', 'pertandingan', 'besar', 'masih', 'terlihat', 'kekurangan', 'mental']",ten hag berhasil membawa tim identitas bermain pertandingan kekurangan mental
"Saya merasa sedikit kecewa dengan hasil imbang, namun ada banyak tanda-tanda positif di bawah Ruben Amorim.",saya merasa sedikit kecewa dengan hasil imbang namun ada banyak tandatanda positif di bawah ruben amorim,negatif,saya merasa sedikit kecewa dengan hasil imbang namun ada banyak tandatanda positif di bawah ruben amorim,saya merasa sedikit kecewa dengan hasil imbang namun ada banyak tandatanda positif di bawah ruben amorim,saya merasa sedikit kecewa dengan hasil imbang namun ada banyak tandatanda positif di bawah ruben amorim,"['saya', 'merasa', 'sedikit', 'kecewa', 'dengan', 'hasil', 'imbang', 'namun', 'ada', 'banyak', 'tandatanda', 'positif', 'di', 'bawah', 'ruben', 'amorim']",kecewa hasil imbang tandatanda positif ruben amorim
Cocok jadi supersub aja ni case untuk sekarang,cocok jadi supersub aja ni case untuk sekarang,positif,cocok jadi supersub aja ni case untuk sekarang,cocok jadi supersub aja ni case untuk sekarang,cocok jadi supersub saja ini case untuk sekarang,"['cocok', 'jadi', 'supersub', 'saja', 'ini', 'case', 'untuk', 'sekarang']",cocok supersub case
"Optimis dengan progres tim di bawah Amorim, butuh waktu tapi arahnya sudah benar.",optimis dengan progres tim di bawah amorim butuh waktu tapi arahnya sudah benar,positif,optimis dengan progres tim di bawah amorim butuh waktu tapi arahnya sudah benar,optimis dengan progres tim di bawah amorim butuh waktu tapi arahnya sudah benar,optimis dengan progres tim di bawah amorim butuh waktu tapi arahnya sudah benar,"['optimis', 'dengan', 'progres', 'tim', 'di', 'bawah', 'amorim', 'butuh', 'waktu', 'tapi', 'arahnya', 'sudah', 'benar']",optimis progres tim amorim butuh arahnya
Kenapa kita masih mempertahankan pemain sampah ini? Nggak ada kontribusi!,kenapa kita masih mempertahankan pemain sampah ini nggak ada kontribusi,positif,kenapa kita masih mempertahankan pemain sampah ini nggak ada kontribusi,kenapa kita masih mempertahankan pemain sampah ini nggak ada kontribusi,kenapa kita masih mempertahankan pemain sampah ini enggak ada kontribusi,"['kenapa', 'kita', 'masih', 'mempertahankan', 'pemain', 'sampah', 'ini', 'enggak', 'ada', 'kontribusi']",mempertahankan pemain sampah kontribusi
@paxmah_ liat dulu pemain yg di beli season ini kalo udh main semua tapi masih ga ada kemajuan si wajib out,liat dulu pemain yg di beli season ini kalo udh main semua tapi masih ga ada kemajuan si wajib out,negatif,liat dulu pemain yg di beli season ini kalo udh main semua tapi masih ga ada kemajuan si wajib out,liat dulu pemain yg di beli season ini kalo udh main semua tapi masih ga ada kemajuan si wajib out,lihat dulu pemain yang di beli season ini kalo sudah main semua tapi masih enggak ada kemajuan sih wajib out,"['lihat', 'dulu', 'pemain', 'yang', 'di', 'beli', 'season', 'ini', 'kalo', 'sudah', 'main', 'semua', 'tapi', 'masih', 'enggak', 'ada', 'kemajuan', 'sih', 'wajib', 'out']",lihat pemain beli season kalo main kemajuan sih wajib out
